,title,Unnamed: 0,Unnamed: 0.1,platform,score,genre,release_year,Dreamcast,"Game Boy (Color, Advance)",GameCube,Mobile,"Nintendo (DS, 3DS, DSi)",Nintendo 64,PC,"PlayStation (1, 2 ,3, 4)","PlayStation (Portable, Vita)",Wii (U),"Xbox (360, One)",iPad,Action,Adventure,Board,Card,Educational,Fighting,Hunting,Music,Party,Platformer,Puzzle,RPG,Racing,Shooter,Simulation,Sports,Strategy
7144,Paper Mario: Sticker Star,222,239,"Nintendo (DS, 3DS, DSi)","(8, 9]",RPG,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7145,Paper Mario: The Thousand-Year Door,5759,6207,GameCube,"(9, 10]",RPG,2004,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7146,Paper Titans,19041,17040,Mobile,"(8, 9]",Puzzle,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7147,Paper Wars: Cannon Fodder,15114,16415,Wii (U),"(7, 8]",Strategy,2011,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7148,Paperboy,8253,8870,"Xbox (360, One)","(6, 7]",Action,2007,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7149,Paperboy (2000),1483,1658,Nintendo 64,"(7, 8]",Action,1999,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7150,"Papers, Please",15856,17215,PC,"(8, 9]",Simulation,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7151,Papo & Yo,15693,17031,"PlayStation (1, 2 ,3, 4)","(3, 4]",Adventure,2013,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7152,Papyrus,2008,2225,"Game Boy (Color, Advance)","(6, 7]",Action,2000,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7153,ParaWorld,7771,8347,PC,"(7, 8]",Strategy,2006,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
